Date,Tax Type,Jammu and Kashmir,Himachal Pradesh,Punjab,Chandigarh,Uttarakhand,Haryana,Delhi,Rajasthan,Uttar Pradesh,Bihar,Sikkim,Arunachal Pradesh,Nagaland,Manipur,Mizoram,Tripura,Meghalaya,Assam,West Bengal,Jharkhand,Odisha,Chhattisgarh,Madhya Pradesh,Gujarat,Daman and Diu,Dadra and Nagar Haveli,Maharashtra,Karnataka,Goa,Lakshadweep,Kerala,Tamil Nadu,Ladakh,Puducherry,Andaman and Nicobar Islands,Telangana,Andhra Pradesh,Grand Total,Year Range
01-12-2017 00:00,CESS,0.9239451,1.2720989,5.6241042,0.617049,11.7993618,340.2643659,93.6131518,132.0479788,1007.360077,174.7055336,0.0233956,0.1452121,0.4442401,0.0753849,0.0819298,0.4361803,0.1760553,49.7007799,252.0116255,425.1837561,496.8463402,600.4000291,365.854673,301.1431727,0.0090395,0.0480133,937.7377973,903.4295112,1.7241971,0,6.2824819,527.7543508,0,0.0937393,0.0520825,513.2891597,12.8435906,7164.014404,2018
01-01-2018 00:00,CGST,92.2078896,78.4358314,240.4887728,27.0553559,153.5881025,609.7836442,825.379787,599.4288516,929.9200977,136.3750084,6.670134,4.7172964,4.040246,3.7106181,2.0953058,11.4487229,12.8920963,141.3962477,669.5286136,242.2002767,355.3612027,279.0282559,416.1800764,1532.263665,9.772395,14.6456676,3264.2188,1257.763565,82.7575508,0.2958352,413.6571433,1282.377993,0,20.5703662,5.6640288,586.3572247,489.0604972,14801.33717,2018
01-01-2018 00:00,SGST,144.5841106,125.2491557,425.0950479,41.5684749,268.7134704,965.7927035,1099.630255,858.5509976,1454.037102,280.7431869,11.4452632,8.571037,6.1938519,7.5905287,3.6891976,16.9468719,21.2464251,222.1506504,990.880726,354.2666977,470.5614479,367.3547718,613.8007317,2060.808519,12.3141745,21.5857005,4450.617905,1810.443919,116.779243,0.3501699,698.4593652,1889.471807,0,30.9039189,7.9518055,856.5935224,713.8419995,21428.78476,2018
01-01-2018 00:00,IGST,65.2115515,394.3831927,410.980063,77.641589,825.159433,2376.416874,1596.313334,781.4219105,1339.666278,78.4484461,133.5841073,3.0332981,4.8207482,0.8427714,2.0293828,3.6605334,51.6062443,175.9593552,714.5104955,883.396825,542.2475385,530.3978851,489.9162381,1876.068081,80.1567769,112.8519,4657.862514,2049.008825,103.6962569,0.0296907,244.3611897,1556.027819,0,109.7343637,0.8683186,768.0426313,697.3217621,23737.67822,2018
01-01-2018 00:00,CESS,4.3726415,1.5925772,12.653962,1.3465325,14.2724765,310.9354158,81.4475909,154.8058999,957.3165701,146.0031143,0.0102811,0.1427494,0.3756215,0.159899,0.0229584,0.16657,4.7159285,38.4601075,282.9594189,394.4359719,590.3324494,597.2266227,369.971043,309.5733834,0.0559622,0.2383297,984.9795903,873.8409293,2.2707662,0,11.2882798,588.3149028,0,1.5722039,0.0263137,525.7353558,20.5769695,7282.199389,2018
01-02-2018 00:00,CGST,71.5804401,70.6482731,241.1152765,28.0808927,140.6947739,602.170508,703.3390734,565.2292556,852.2095177,145.5940088,5.5035165,3.9785113,3.6686614,3.7071806,2.1824171,11.2111949,12.6585617,132.7155957,923.9048906,260.0567514,356.5927546,307.6109732,424.0610411,1590.597993,6.7694571,12.448756,3265.822665,1252.856785,93.2883261,0.5716052,388.948451,1250.031354,0,17.9343673,8.2536976,572.3147937,415.8881947,14744.24052,2018
01-02-2018 00:00,SGST,124.990154,106.8125354,386.2489357,40.655938,274.4549441,942.4704625,930.1228543,763.7220649,1357.444,270.1907598,8.5800803,6.5869015,4.9243026,7.5930814,4.7218099,19.1567208,18.4106441,203.3280702,1183.22255,341.2659129,486.4270778,389.1395795,578.003129,2030.577404,10.5206472,18.6621324,4296.968185,1713.991243,127.2235938,0.5883919,621.1601689,1900.972188,0,28.2239381,11.0679782,794.5896194,581.4440134,20584.46201,2018
01-02-2018 00:00,IGST,71.1297637,382.8068805,428.5482741,71.9460277,730.5684629,2471.386964,1402.376729,835.501315,1267.838589,127.6229534,108.6441585,2.4862071,3.2912574,1.2267406,1.138393,3.8357996,74.7177129,164.072016,711.3462722,795.1561464,517.4344492,546.639261,560.6279733,1808.778752,79.3511796,105.9744826,3849.349415,2063.627089,134.4301202,0.1282763,191.1537968,1649.872851,0,92.1709432,0.8985719,748.069603,742.8999224,22747.04735,2018
01-02-2018 00:00,CESS,1.5856329,1.4564699,7.6707441,0.4245597,20.673688,340.464588,85.140511,142.929192,1129.147818,223.3886703,0.0175176,0.4010743,0.2818946,0.3185785,0.1717795,0.1291294,9.4541786,27.9379064,355.0326973,360.6973128,621.7917644,290.2435286,397.5701709,392.7751702,0.0392576,0.1419253,1036.785697,988.0113489,2.3135848,0,5.5982098,562.2504096,0,0.6008145,0.0242651,526.4695344,18.2470722,7550.186695,2018
01-03-2018 00:00,CGST,65.7712347,72.555286,255.4730042,25.7052257,162.3074258,666.3008204,807.2436017,579.322136,997.4156439,168.7237506,8.9069165,9.9750214,2.5910272,7.4027196,2.8808752,15.2210379,12.3247915,156.0959207,1199.22408,293.0269351,391.0834915,368.8541208,450.4086608,1594.415308,8.2907038,12.5575232,3660.130175,1299.119668,92.7969121,0.3641077,403.4130628,1337.052484,0,19.636407,16.0172057,642.10183,445.963911,16250.67303,2018
01-03-2018 00:00,SGST,114.292826,119.8726963,411.9014519,36.0397744,303.418643,1032.509788,982.0144393,789.766893,1524.181344,314.0226004,16.1276186,17.6519301,5.5226172,16.3825959,7.2843275,22.7449051,18.9518413,228.0031133,1494.379888,414.0055575,515.1277654,454.4432499,615.6236906,2015.643804,12.307835,19.1711823,4586.249377,1750.592751,127.2145389,0.4057359,613.0544367,1874.165942,0,28.0319962,19.8755598,903.6584044,618.9598389,22023.60096,2018
01-03-2018 00:00,IGST,75.8861302,417.9694107,444.896988,74.2825862,777.7302103,2219.060958,1387.3546,845.3368802,1338.547103,90.9504747,119.6530846,4.8017845,3.853389,1.2132012,1.2952574,7.3052398,69.4497172,179.353312,765.2332166,875.0498698,559.9385242,684.549591,556.9756713,2006.18991,115.9733792,98.4644182,4139.428747,2203.71056,123.6627294,0.0737852,228.0633435,1760.951684,0,94.9433315,1.3563134,846.658867,783.0554701,23903.21974,2018
01-03-2018 00:00,CESS,2.0296964,0.5581432,10.2812493,0.1822168,21.0380335,354.0523894,72.6326409,131.7918967,939.0886169,183.9705989,0.4304026,0.0062423,0.503275,0.0708811,0.0066494,0.1483807,4.7008789,55.1135754,297.0491649,461.5863382,525.3120613,321.192474,376.8077077,305.9830964,0.0207499,0.3316019,944.318354,743.6774731,2.8063984,0,4.6993374,507.1065442,0,0.9187301,0.011051,407.1894951,17.44262,6693.058965,2018
01-04-2018 00:00,CGST,115.2195907,88.9735412,310.4836873,33.6728166,211.4783136,713.3451362,1104.771594,659.2523603,1330.069661,205.9085438,11.581942,12.8587217,4.4329982,13.8957644,5.8832014,16.9535451,23.658506,172.4792086,1017.020684,348.6983574,448.9761059,338.4303375,525.8862627,1701.278691,10.4056486,18.3479567,4254.06919,1608.179425,89.3905036,1.1743792,457.5142062,1499.282023,0,20.6717692,21.2654377,715.3014235,529.4279731,18640.23951,2019
01-04-2018 00:00,SGST,179.6171643,135.9913321,498.576425,46.3927594,355.8278507,1100.31667,1331.565207,903.8752928,2115.070386,425.0507914,15.7365388,16.5303152,7.2390867,18.4244025,9.4137331,25.4795653,32.7970361,276.8779728,1359.811236,489.660597,639.2413068,415.6428411,717.0520018,2133.400505,14.8313567,26.4276651,5382.562558,2192.427157,122.1252453,1.2607564,702.0746848,2096.078687,0,31.383934,27.0566218,1021.273766,812.4554767,25679.54893,2019
01-04-2018 00:00,IGST,73.9837846,420.817172,432.3419534,101.4381839,924.7473821,2982.037874,1682.851182,903.7504439,1545.282666,108.9029621,123.2235067,3.2409188,5.1178104,1.4850173,1.9556099,3.2234347,92.3087284,176.8886739,925.6416535,1045.35172,495.9366833,633.3494901,646.8433197,2190.054514,67.1321881,120.4309629,5963.590894,2640.190911,137.4726109,0.0924236,232.5592922,2395.60382,0,117.9798218,1.6888315,1127.473546,883.3891257,29208.37911,2019
01-04-2018 00:00,CESS,3.236023,1.4776635,16.9955532,0.2345281,22.560781,334.2225105,78.8082267,141.8250106,1029.8217,173.6850592,0.0017444,0.5150581,0.172562,0.0308901,0.0430771,0.0607523,3.6443658,52.9713863,388.1641398,504.8150366,583.6415354,502.2396624,454.5571878,303.9012717,0.0038978,0.1360035,1125.634046,906.4502413,3.4837973,0,4.0158774,674.9750022,0,0.2242301,0.0254118,513.6417464,25.8884246,7852.104404,2019
01-05-2018 00:00,CGST,70.5962381,74.3762122,237.8547312,26.8891317,160.3741656,690.5879097,631.2872724,637.38988,971.7340606,167.8525265,9.9368729,9.7702146,3.1415729,5.2564341,3.1514014,16.8955247,13.7163889,314.067016,869.323819,251.2933302,360.0789033,299.9390334,383.8909161,1726.576722,7.5246866,13.0494034,3684.413432,1259.996259,78.7974173,0.0573081,419.9266334,1388.178551,0,18.2086435,5.5957878,547.3001162,488.4536872,15847.4822,2019
01-05-2018 00:00,SGST,119.216669,116.8320504,397.4046804,36.4584542,303.9771301,1015.290968,797.3489619,848.7906037,1502.794501,335.0095708,13.5487096,15.3944388,5.9792819,9.2831337,6.4693904,25.8378444,19.9220798,399.2464527,1171.299826,358.409686,499.2367762,378.1035969,555.2812759,2177.273031,10.6333609,18.9098441,4606.000485,1691.945731,106.4567273,0.0601138,658.9482916,1927.10743,0,26.940619,8.6251317,806.8076647,689.9240324,21660.76854,2019
01-05-2018 00:00,IGST,72.7601634,453.8460676,487.8012503,68.7986827,761.5033899,2515.975995,1402.191104,873.4019092,1302.46336,119.7263862,143.151528,4.4778228,3.9886993,1.949813,4.1402884,2.6832971,89.9407388,185.106904,786.3670877,893.7014977,637.6293044,662.435497,527.6307886,2016.554782,69.1972783,100.2732969,3960.487154,2102.04639,129.477076,0.0245316,216.0523773,1682.281912,0,110.1872816,1.9647787,790.8264143,762.836686,23943.88153,2019
01-06-2018 00:00,CESS,4.3685637,1.0527129,16.2564943,0.0684211,20.8390117,351.8846461,84.0658275,132.9154005,838.8383051,116.7999723,0.6622607,0.0092772,0.3192949,0.1726912,0.0008017,0.2364986,3.0186096,25.9687728,281.4032516,454.3798865,395.007774,529.1102962,396.8438641,341.5637384,0.0371131,0.0204581,796.503106,698.1180058,2.791535,0,5.4748096,491.022462,0,0.1649135,0.0257048,474.1155177,20.8696637,6484.929662,2019
